chapter_season,chapter,season,start_date,end_date
1.1,1,1,2017-10-16,2017-12-13
1.2,1,2,2017-12-14,2018-02-21
1.3,1,3,2018-02-22,2018-04-30
1.4,1,4,2018-05-01,2018-07-11
1.5,1,5,2018-07-12,2018-09-26
1.6,1,6,2018-09-27,2018-12-05
1.7,1,7,2018-12-06,2019-02-27
1.8,1,8,2019-02-28,2019-05-08
1.9,1,9,2019-05-09,2019-07-31
1.10,1,10,2019-08-01,2019-10-13
2.1,2,1,2019-10-15,2020-02-19
2.2,2,2,2020-02-20,2020-06-16
2.3,2,3,2020-06-17,2020-08-26
2.4,2,4,2020-08-27,2020-12-01
2.5,2,5,2020-12-02,2021-03-15
2.6,2,6,2021-03-16,2021-06-07
2.7,2,7,2021-06-08,2021-09-12
2.8,2,8,2021-09-13,2021-12-04
3.1,3,1,2021-12-05,2022-03-19
3.2,3,2,2022-03-20,2022-06-04
3.3,3,3,2022-06-05,2022-09-17
3.4,3,4,2022-09-18,2022-12-03
4.1,4,1,2022-12-04,2023-03-09
4.2,4,2,2023-03-10,2023-06-08
4.3,4,3,2023-06-09,2023-08-24
4.4,4,4,2023-08-25,2023-11-02
