date,rarity,item_type,name,cost
2022-06-15,rare,outfit,*Jellie*,1200
2022-06-15,rare,outfit,*Scimitar*,1200
2022-06-15,rare,wrap,*Emblem*,500
2022-06-15,common,wrap,*Rainbow Bubblegum*,300
2022-06-15,uncommon,pickaxe,*Fit Stick*,500
2022-06-15,rare,skydive,*Chrono*,400
2022-06-15,rare,outfit,*Sandstorm*,1200
2022-06-15,uncommon,outfit,*Stash'd*,800
2022-06-15,rare,outfit,*Joy*,1200
2022-06-15,rare,bundle,*Immortal Sands (Bundle)*,2000
2022-06-15,rare,outfit,*Recon Expert*,1200
2022-06-15,uncommon,outfit,*Scarlet Defender*,800
2022-06-15,rare,emote,*Disc Spinner*,500
2022-06-15,rare,emote,*Step It Up*,500
2022-06-15,uncommon,emote,*Face Palm*,200
2022-06-15,icon_series,emote,*Pump up the Jam*,500
2022-06-15,rare,outfit,*Stalwart Sweeper*,1200
2022-06-15,uncommon,pickaxe,*Elite Cleat*,500
2022-06-15,rare,outfit,*Dynamic Dribbler*,1200
2022-06-15,rare,outfit,*Aerial Threat*,1200
2022-06-15,rare,outfit,*Clinical Crosser*,1200
2022-06-15,rare,outfit,*Midfield Maestro*,1200
2022-06-15,rare,pickaxe,*Vuvuzela*,800
2022-06-15,rare,outfit,*Poised Playmaker*,1200
2022-06-15,rare,outfit,*Finesse Finisher*,1200
2022-06-15,rare,emote,*Kick Ups*,500
2022-06-15,uncommon,glider,*Goalbound*,500
2022-06-15,rare,outfit,*Super Striker*,1200
2022-06-15,uncommon,emote,*Red Card*,200
2022-06-15,rare,bundle,*Star Playmakers (Bundle)*,2500
2022-06-15,rare,bundle,*Champions of The Pitch (Bundle)*,2500
2022-06-15,uncommon,wrap,*Wild Rainbow*,0
2022-06-15,uncommon,emote,*Take a 'bow*,0
2022-06-15,uncommon,spray,*Vibrant Heart*,0
2022-06-15,uncommon,spray,*Vibrant Llama*,0
2022-06-15,uncommon,spray,*Vibrant Boogie*,0
2022-06-15,uncommon,spray,*Vibrant Star*,0
2022-06-15,epic,outfit,*Paul Atreides*,1500
2022-06-15,uncommon,emote,*Sand Walk*,200
2022-06-15,rare,pickaxe,*Maker Hooks*,800
2022-06-15,epic,outfit,*Chani*,1500
2022-06-15,uncommon,pickaxe,*Twinblades*,500
2022-06-15,rare,glider,*Ornithopter*,800
2022-06-15,epic,bundle,*Dune (Bundle)*,2000
2022-06-15,rare,bundle,*Dune Gear (Bundle)*,1500
2022-06-15,rare,outfit,*Shady Doggo*,1200
2022-06-15,rare,glider,*Parasail Purse*,800
2022-06-15,uncommon,wrap,*Signature Look (24K)*,300
2022-06-15,epic,outfit,*Fashion Banshee*,1500
2022-06-15,uncommon,wrap,*Signature Look (Midnight)*,300
2022-06-15,rare,emote,*The Look*,400
2022-06-15,rare,pickaxe,*Speed Sneaker*,800
2022-06-15,epic,outfit,*Unchained Ramirez*,1500
2022-06-15,rare,outfit,*Game Knight*,1200
2022-06-15,uncommon,wrap,*Signature Look*,300
2022-06-15,rare,bundle,*Balenciaga Looks (Bundle)*,1600
2022-06-15,epic,bundle,*Balenciaga Unleashed (Bundle)*,1800
